,rssi.242,rssi.94,rssi.h,rssi.245,outcome
324,-72,-85,-73,-82,5
325,-73,-85,-72,-79,5
326,-72,-85,-72,-83,5
327,-72,-84,-73,-83,5
328,-72,-86,-72,-83,5
329,-72,-85,-72,-82,5
330,-72,-85,-73,-79,5
331,-71,-85,-72,-80,5
332,-72,-85,-73,-81,5
333,-72,-86,-73,-81,5
334,-72,-86,-72,-80,5
335,-73,-85,-73,-79,5
336,-72,-85,-72,-81,5
337,-72,-85,-73,-80,5
338,-72,-85,-72,-79,5
339,-72,-86,-73,-80,5
340,-72,-84,-73,-82,5
341,-72,-85,-72,-82,5
342,-74,-85,-73,-79,5
343,-72,-85,-73,-81,5
344,-73,-85,-72,-80,5
345,-72,-85,-72,-81,5
346,-72,-87,-73,-81,5
347,-73,-84,-73,-81,5
348,-73,-85,-73,-81,5
349,-72,-85,-73,-82,5
350,-73,-87,-73,-81,5
351,-72,-85,-73,-82,5
352,-72,-87,-73,-81,5
353,-72,-85,-73,-79,5
354,-72,-84,-73,-81,5
355,-72,-85,-73,-81,5
356,-72,-85,-73,-82,5
357,-73,-85,-74,-81,5
358,-73,-84,-73,-81,5
359,-74,-84,-74,-85,5
360,-73,-87,-73,-80,5
361,-73,-84,-73,-82,5
362,-72,-85,-72,-82,5
363,-73,-85,-72,-79,5
364,-72,-85,-72,-79,5
365,-72,-85,-72,-83,5
366,-71,-84,-72,-83,5
367,-72,-85,-72,-83,5
368,-72,-85,-72,-82,5
369,-70,-87,-71,-82,5
370,-72,-85,-72,-80,5
371,-73,-87,-72,-81,5
372,-72,-85,-72,-82,5
373,-72,-86,-73,-81,5
374,-72,-87,-72,-79,5
375,-71,-85,-72,-81,5
376,-72,-86,-72,-79,5
377,-72,-85,-73,-80,5
378,-72,-85,-73,-79,5
379,-72,-85,-72,-81,5
380,-72,-86,-73,-80,5
381,-72,-86,-72,-80,5
382,-73,-85,-71,-79,5
383,-81,-85,-65,-69,6
384,-69,-87,-60,-76,6
385,-69,-79,-68,-80,6
386,-68,-80,-80,-70,6
387,-72,-84,-71,-74,6
388,-69,-80,-61,-76,6
389,-67,-84,-58,-67,6
390,-68,-83,-60,-75,6
391,-63,-79,-55,-68,6
392,-71,-80,-57,-71,6
393,-77,-82,-55,-74,6
394,-79,-81,-57,-76,6
395,-75,-87,-56,-73,6
396,-67,-80,-60,-74,6
397,-64,-87,-57,-78,6
398,-65,-79,-56,-77,6
399,-69,-78,-57,-73,6
400,-67,-80,-62,-76,6
401,-71,-91,-58,-67,6
402,-79,-82,-59,-74,6
403,-78,-94,-63,-73,6
404,-72,-84,-56,-79,6
405,-68,-81,-58,-74,6
406,-69,-83,-58,-71,6
407,-68,-85,-57,-73,6
408,-69,-84,-60,-76,6
409,-73,-85,-59,-72,6
410,-65,-84,-57,-70,6
411,-65,-85,-62,-76,6
412,-69,-88,-58,-81,6
413,-77,-90,-59,-74,6
414,-66,-86,-62,-71,6
415,-65,-87,-57,-70,6
416,-70,-84,-63,-70,6
417,-67,-88,-61,-81,6
418,-73,-85,-61,-78,6
419,-74,-83,-62,-75,6
420,-68,-92,-63,-78,6
